customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,age
4001,Chickie,Brister,Male,86,12/07/1957,General Manager,Manufacturing,Mass Customer,NO,Yes,14,45 Shopko Center,4500,QLD,Australia,6,1,1.71875,64
4002,Morly,Genery,Male,69,22/03/1970,Structural Engineer,Property,Mass Customer,NO,No,16,14 Mccormick Park,2113,NSW,Australia,11,1,1.71875,52
4003,Ardelis,Forrester,Female,10,28/08/1974,Senior Cost Accountant,Financial Services,Affluent Customer,NO,No,10,5 Colorado Crossing,3505,VIC,Australia,5,1,1.71875,47
4004,Lucine,Stutt,Female,64,28/01/1979,Account Representative III,Manufacturing,Affluent Customer,NO,Yes,5,207 Annamark Plaza,4814,QLD,Australia,1,4,1.703125,43
4005,Melinda,Hadlee,Female,34,21/09/1965,Financial Analyst,Financial Services,Affluent Customer,NO,No,19,115 Montana Place,2093,NSW,Australia,9,4,1.703125,56
4006,Druci,Brandli,Female,39,29/04/1951,Assistant Media Planner,Entertainment,High Net Worth,NO,Yes,22,89105 Pearson Terrace,4075,QLD,Australia,7,6,1.671875,70
4007,Rutledge,Hallt,Male,23,06/10/1976,Compensation Analyst,Financial Services,Mass Customer,NO,No,8,7 Nevada Crossing,2620,NSW,Australia,7,6,1.671875,45
4008,Nancie,Vian,Female,74,27/12/1972,Human Resources Assistant II,Retail,Mass Customer,NO,Yes,10,85 Carioca Point,4814,QLD,Australia,5,8,1.65625,49
4009,Duff,Karlowicz,Male,50,28/04/1972,Speech Pathologist,Manufacturing,Mass Customer,NO,Yes,5,717 West Drive,2200,NSW,Australia,10,8,1.65625,49
4010,Barthel,Docket,Male,72,02/08/1985,Accounting Assistant IV,IT,Mass Customer,NO,Yes,17,80 Scofield Junction,4151,QLD,Australia,5,10,1.640625,36
4011,Rockwell,Matson,Male,94,01/01/1995,Programmer Analyst I,Retail,High Net Worth,NO,No,3,3682 Crowley Point,4573,QLD,Australia,6,10,1.640625,27
4012,Wheeler,Winward,Male,48,30/08/1999,Environmental Specialist,Manufacturing,Mass Customer,NO,No,10,3 Golden Leaf Point,3216,VIC,Australia,8,12,1.625,22
4013,Olag,Not Known,Male,60,13/05/1990,Human Resources Manager,Telecommunications,Mass Customer,NO,No,9,0484 North Avenue,2032,NSW,Australia,11,13,1.609375,31
4014,Melba,Spellacy,Female,38,09/12/1976,VP Marketing,Health,Mass Customer,NO,No,4,0591 Anzinger Circle,2232,NSW,Australia,10,14,1.59375,45
4015,Mandie,Feares,Female,32,19/04/1964,Clinical Specialist,Health,Mass Customer,NO,No,10,39 Kedzie Pass,4053,QLD,Australia,8,14,1.59375,57
4016,Dukie,Swire,Male,88,31/03/1954,Not Stated,Manufacturing,Affluent Customer,NO,Yes,5,64 Granby Parkway,2500,NSW,Australia,8,16,1.5625,67
4017,Marcelia,Monkleigh,Female,61,22/08/1993,Associate Professor,Manufacturing,Mass Customer,NO,Yes,4,610 Swallow Street,4051,QLD,Australia,6,17,1.546875,28
4018,Winnifred,Beswetherick,Female,83,08/06/1976,Actuary,Financial Services,Mass Customer,NO,No,14,61 4th Street,3040,VIC,Australia,10,17,1.546875,45
4019,Odilia,Quick,Female,65,09/11/1938,General Manager,Manufacturing,Affluent Customer,NO,Yes,11,1550 Russell Way,2222,NSW,Australia,11,19,1.53125,83
4020,Karly,Willavize,Female,2,12/08/1954,Internal Auditor,Manufacturing,High Net Worth,NO,No,12,193 North Point,2190,NSW,Australia,10,19,1.53125,67
4021,Teddie,Burchill,Male,11,21/12/1968,Programmer I,Manufacturing,Mass Customer,NO,Yes,13,321 Raven Plaza,2161,NSW,Australia,9,21,1.515625,53
4022,Gaston,Dallaghan,Male,44,29/09/1993,Financial Analyst,Financial Services,Mass Customer,NO,Yes,8,656 Fuller Street,2783,NSW,Australia,7,21,1.515625,28
4023,Otis,Ottey,Male,26,05/02/1998,Quality Engineer,Not Stated,Mass Customer,NO,No,3,1562 Merchant Street,4744,QLD,Australia,4,23,1.5,24
4024,Tabbatha,Averill,Female,5,17/12/1977,Quality Control Specialist,Manufacturing,Affluent Customer,NO,Yes,13,663 8th Parkway,2257,NSW,Australia,8,23,1.5,44
4025,Brena,Schnitter,Female,78,11/10/1982,Account Executive,Manufacturing,Mass Customer,NO,No,4,67 Shelley Street,4703,QLD,Australia,5,25,1.484375,39
4026,Rourke,Gillbard,Male,11,03/08/1945,Not Stated,Property,Mass Customer,NO,No,17,75 Cordelia Trail,4817,QLD,Australia,4,26,1.46875,76
4027,Dyane,Burwell,Female,19,27/06/1952,Engineer II,Retail,Mass Customer,NO,Yes,7,51 Hooker Court,2640,NSW,Australia,2,26,1.46875,69
4028,Claudine,Barstowk,Female,71,20/07/1966,Nurse,Property,High Net Worth,NO,Yes,5,1859 Forest Circle,4000,QLD,Australia,11,26,1.46875,55
4029,Blinnie,Roze,Female,84,10/12/1960,Librarian,Entertainment,High Net Worth,NO,No,11,44557 Rutledge Court,4171,QLD,Australia,7,26,1.46875,61
4030,Rhona,De Freyne,Female,45,22/11/1960,Not Stated,Health,High Net Worth,NO,No,8,11184 East Drive,3056,VIC,Australia,10,30,1.4609375,61
4031,Sharron,Claibourn,Female,62,26/01/1980,Not Stated,Financial Services,High Net Worth,NO,Yes,17,555 Hermina Avenue,2280,NSW,Australia,8,30,1.4609375,42
4032,Brien,Heaton,Male,70,28/11/1951,Clinical Specialist,Health,Mass Customer,NO,Yes,12,8 Novick Trail,2470,NSW,Australia,2,32,1.453125,70
4033,Sybilla,MacCart,Female,88,15/01/1987,Paralegal,Financial Services,Mass Customer,NO,Yes,7,74 Welch Pass,2620,NSW,Australia,7,32,1.453125,35
4034,Mikel,McNess,Male,71,22/09/1981,Nurse,Not Stated,Mass Customer,NO,No,9,3 Pleasure Drive,4122,QLD,Australia,9,32,1.453125,40
4035,Maisie,Maddox,Female,27,09/05/1977,Assistant Manager,Financial Services,Affluent Customer,NO,No,20,8 Dennis Point,3226,VIC,Australia,9,32,1.453125,44
4036,Arleen,Casbolt,Female,48,10/05/1975,Senior Quality Engineer,Financial Services,Affluent Customer,NO,Yes,13,41042 Lotheville Crossing,4817,QLD,Australia,1,36,1.44765625,46
4037,Farlie,Petford,Male,76,25/03/1968,Recruiting Manager,Not Stated,High Net Worth,NO,No,13,2330 Butternut Trail,2017,NSW,Australia,10,36,1.44765625,54
4038,Mitchell,MacCague,Male,58,11/04/1979,Not Stated,Manufacturing,Mass Customer,NO,No,15,240 Acker Avenue,3190,VIC,Australia,8,38,1.4375,42
4039,Garik,Whitwell,Male,44,13/06/1955,Not Stated,Property,Mass Customer,NO,Yes,13,04 Dexter Way,3280,VIC,Australia,2,38,1.4375,66
4040,Antonin,Britt,Male,64,28/08/1993,Not Stated,Manufacturing,Affluent Customer,NO,Yes,8,011 Northland Trail,2160,NSW,Australia,9,40,1.434375,28
4041,Vinny,Incogna,Female,73,13/02/1953,Not Stated,Health,High Net Worth,NO,No,10,8 Grayhawk Circle,2756,NSW,Australia,8,40,1.434375,69
4042,Colene,Fishleigh,Female,24,14/03/1985,Design Engineer,Financial Services,Mass Customer,NO,No,3,44 Darwin Lane,3149,VIC,Australia,10,42,1.421875,37
4043,Neile,Argent,Female,79,25/10/1946,Not Stated,Retail,Mass Customer,NO,No,8,2548 Arrowood Pass,2024,NSW,Australia,10,42,1.421875,75
4044,Corinna,Suggey,Female,52,18/09/1966,Design Engineer,Not Stated,Affluent Customer,NO,No,9,938 Ilene Road,2761,NSW,Australia,8,44,1.42109375,55
4045,Brooke,Arling,Male,76,05/12/1961,Not Stated,Not Stated,High Net Worth,NO,No,6,6 Melby Center,3027,VIC,Australia,5,44,1.42109375,60
4046,Gipsy,Ewestace,Female,29,30/08/1956,Business Systems Development Analyst,Retail,High Net Worth,NO,Yes,5,08708 Moulton Park,2034,NSW,Australia,12,46,1.4078125,65
4047,Sheena,Kybbye,Female,14,16/07/1956,Paralegal,Financial Services,Affluent Customer,NO,Yes,19,306 Clemons Junction,4852,QLD,Australia,1,46,1.4078125,65
4048,Jobina,Gobourn,Female,85,04/12/1994,VP Quality Control,Not Stated,High Net Worth,NO,Yes,14,18 Grim Road,4305,QLD,Australia,4,46,1.4078125,27
4049,Gale,Disbrow,Female,59,14/05/1977,Cost Accountant,Financial Services,Mass Customer,NO,Yes,17,169 Bashford Drive,3741,VIC,Australia,7,46,1.4078125,44
4050,Thaxter,Kingsbury,Male,12,03/05/1950,Product Engineer,Argiculture,Mass Customer,NO,No,20,3 Vermont Lane,2067,NSW,Australia,12,50,1.40625,71
4051,Heinrick,Shilstone,Male,60,11/02/1978,Not Stated,Manufacturing,Affluent Customer,NO,No,10,998 Gale Park,3174,VIC,Australia,8,50,1.40625,44
4052,Taylor,Steuhlmeyer,Male,62,22/03/1999,Paralegal,Financial Services,Affluent Customer,NO,Yes,5,64 Mcguire Trail,4017,QLD,Australia,8,52,1.39453125,23
